Date,Price,Open,High,Low,Vol.,Change %,Ticker Symbol,Bank Name
02/20/2024,"91,300","90,100","91,400","89,400",1.40M,1.22%,VCB,Vietcombank
02/19/2024,"90,200","89,900","90,500","89,300",1.05M,0.67%,VCB,Vietcombank
02/16/2024,"89,600","89,900","90,200","89,500",734.10K,-0.33%,VCB,Vietcombank
02/15/2024,"89,900","90,000","90,700","89,100",1.05M,-0.11%,VCB,Vietcombank
02/07/2024,"90,000","90,000","90,800","89,300",1.37M,0.56%,VCB,Vietcombank
02/06/2024,"89,500","90,300","90,600","89,100",1.35M,-0.56%,VCB,Vietcombank
02/05/2024,"90,000","90,200","90,600","89,400",1.95M,-0.33%,VCB,Vietcombank
02/02/2024,"90,300","89,100","90,500","89,100",733.00K,0.56%,VCB,Vietcombank
02/01/2024,"89,800","88,000","90,200","88,000",598.10K,1.47%,VCB,Vietcombank
01/31/2024,"88,500","90,600","90,600","88,500",945.60K,-2.75%,VCB,Vietcombank
01/30/2024,"91,000","91,200","91,200","90,100",888.60K,-0.22%,VCB,Vietcombank
01/29/2024,"91,200","91,800","92,000","90,900",730.50K,-0.87%,VCB,Vietcombank
01/26/2024,"92,000","91,600","92,000","91,400",953.10K,1.10%,VCB,Vietcombank
01/25/2024,"91,000","91,100","91,600","90,700",503.30K,-0.11%,VCB,Vietcombank
01/24/2024,"91,100","91,600","92,000","90,900",744.70K,-0.44%,VCB,Vietcombank
01/23/2024,"91,500","92,100","92,400","90,400",1.26M,-0.54%,VCB,Vietcombank
01/22/2024,"92,000","93,500","93,500","92,000",1.05M,-0.65%,VCB,Vietcombank
01/19/2024,"92,600","91,000","93,000","90,400",1.47M,1.65%,VCB,Vietcombank
01/18/2024,"91,100","90,900","91,200","90,000",1.42M,0.22%,VCB,Vietcombank
01/17/2024,"90,900","89,000","91,000","89,000",1.58M,1.00%,VCB,Vietcombank
01/16/2024,"90,000","89,000","90,100","88,900",1.37M,0.00%,VCB,Vietcombank
01/15/2024,"90,000","89,000","90,100","88,900",1.91M,1.47%,VCB,Vietcombank
01/12/2024,"88,700","88,100","89,500","87,400",1.91M,-0.67%,VCB,Vietcombank
01/11/2024,"89,300","89,500","90,000","88,600",1.49M,-0.22%,VCB,Vietcombank
01/10/2024,"89,500","87,800","89,500","87,200",1.80M,1.94%,VCB,Vietcombank
01/09/2024,"87,800","86,800","87,900","86,800",1.93M,1.15%,VCB,Vietcombank
01/08/2024,"86,800","86,300","86,800","86,300",1.61M,0.70%,VCB,Vietcombank
01/05/2024,"86,200","85,900","86,200","85,700",1.18M,0.35%,VCB,Vietcombank
01/04/2024,"85,900","84,500","86,200","84,000",2.66M,1.66%,VCB,Vietcombank
01/03/2024,"84,500","83,500","84,500","82,800",1.37M,1.20%,VCB,Vietcombank
01/02/2024,"83,500","82,900","83,600","82,200",1.79M,3.99%,VCB,Vietcombank
12/29/2023,"80,300","83,500","83,900","80,300",1.62M,-3.02%,VCB,Vietcombank
12/28/2023,"82,800","82,700","83,100","82,400",703.20K,0.12%,VCB,Vietcombank
12/27/2023,"82,700","82,900","83,200","82,500",899.60K,-0.12%,VCB,Vietcombank
12/26/2023,"82,800","82,000","82,800","82,000",971.20K,1.22%,VCB,Vietcombank
12/25/2023,"81,800","80,900","81,800","80,700",1.30M,1.11%,VCB,Vietcombank
12/22/2023,"80,900","80,900","81,100","80,400",1.58M,0.00%,VCB,Vietcombank
12/21/2023,"80,900","81,000","81,000","80,300",2.03M,-0.25%,VCB,Vietcombank
12/20/2023,"81,100","81,200","81,300","80,500",1.87M,-0.12%,VCB,Vietcombank
12/19/2023,"81,200","81,500","81,500","80,100",1.96M,-0.37%,VCB,Vietcombank
12/18/2023,"81,500","82,800","82,900","81,500",1.80M,-0.85%,VCB,Vietcombank
12/15/2023,"82,200","84,000","84,400","82,200",2.53M,-2.61%,VCB,Vietcombank
12/14/2023,"84,400","84,000","84,500","84,000",840.60K,0.84%,VCB,Vietcombank
12/13/2023,"83,700","84,200","84,500","83,700",1.15M,-0.59%,VCB,Vietcombank
12/12/2023,"84,200","84,700","84,700","84,000",1.01M,0.00%,VCB,Vietcombank
12/11/2023,"84,200","85,000","85,300","84,100",1.40M,-0.94%,VCB,Vietcombank
12/08/2023,"85,000","85,200","85,500","85,000",1.18M,-0.23%,VCB,Vietcombank
12/07/2023,"85,200","85,700","86,000","85,000",992.30K,-0.81%,VCB,Vietcombank
12/06/2023,"85,900","85,300","86,000","85,000",638.00K,0.59%,VCB,Vietcombank
12/05/2023,"85,400","86,000","86,100","84,800",992.80K,-0.70%,VCB,Vietcombank
12/04/2023,"86,000","85,400","86,200","84,800",888.10K,1.18%,VCB,Vietcombank
12/01/2023,"85,000","84,900","85,000","84,100",714.70K,0.35%,VCB,Vietcombank
11/30/2023,"84,700","85,100","85,400","84,700",927.60K,-0.47%,VCB,Vietcombank
11/29/2023,"85,100","85,400","85,900","85,100",733.10K,-0.82%,VCB,Vietcombank
11/28/2023,"85,800","85,500","85,900","84,800",779.40K,0.00%,VCB,Vietcombank
11/27/2023,"85,800","86,000","86,000","85,100",443.00K,-0.23%,VCB,Vietcombank
11/24/2023,"86,000","85,500","86,000","85,000",734.50K,0.58%,VCB,Vietcombank
11/23/2023,"85,500","86,700","86,800","85,500",647.20K,-1.38%,VCB,Vietcombank
11/22/2023,"86,700","86,300","86,700","85,500",1.01M,0.12%,VCB,Vietcombank
11/21/2023,"86,600","86,100","86,700","85,800",1.15M,0.58%,VCB,Vietcombank
11/20/2023,"86,100","85,600","87,000","85,000",1.10M,0.58%,VCB,Vietcombank
11/17/2023,"85,600","87,800","87,900","85,500",1.59M,-2.73%,VCB,Vietcombank
11/16/2023,"88,000","87,000","88,000","86,700",1.28M,0.34%,VCB,Vietcombank
11/15/2023,"87,700","86,500","87,700","86,500",4.07M,1.98%,VCB,Vietcombank
11/14/2023,"86,000","86,000","86,500","85,400",987.50K,0.58%,VCB,Vietcombank
11/13/2023,"85,500","86,000","86,100","85,400",937.70K,-0.58%,VCB,Vietcombank
11/10/2023,"86,000","87,100","87,500","86,000",1.35M,-2.16%,VCB,Vietcombank
11/09/2023,"87,900","89,500","89,500","87,900",1.17M,-1.79%,VCB,Vietcombank
11/08/2023,"89,500","88,000","89,700","87,900",1.27M,1.36%,VCB,Vietcombank
11/07/2023,"88,300","89,000","89,300","88,300",413.90K,-1.34%,VCB,Vietcombank
11/06/2023,"89,500","88,900","89,800","88,500",774.80K,0.67%,VCB,Vietcombank
11/03/2023,"88,900","89,000","89,400","88,100",1.09M,-0.11%,VCB,Vietcombank
11/02/2023,"89,000","88,000","89,000","86,600",1.06M,1.37%,VCB,Vietcombank
11/01/2023,"87,800","86,800","87,800","86,100",1.48M,1.15%,VCB,Vietcombank
10/31/2023,"86,800","85,900","86,900","84,900",1.35M,1.05%,VCB,Vietcombank
10/30/2023,"85,900","83,500","86,000","83,500",592.90K,1.06%,VCB,Vietcombank
10/27/2023,"85,000","84,600","85,000","83,800",773.40K,0.59%,VCB,Vietcombank
10/26/2023,"84,500","85,000","86,000","83,500",1.42M,-1.52%,VCB,Vietcombank
10/25/2023,"85,800","85,100","85,800","84,600",660.10K,-0.23%,VCB,Vietcombank
10/24/2023,"86,000","84,500","86,500","83,900",994.00K,1.78%,VCB,Vietcombank
10/23/2023,"84,500","84,500","84,500","82,500",966.60K,-0.35%,VCB,Vietcombank
10/20/2023,"84,800","83,500","85,300","82,700",938.40K,0.36%,VCB,Vietcombank
10/19/2023,"84,500","85,500","86,000","84,100",1.36M,-1.63%,VCB,Vietcombank
10/18/2023,"85,900","85,500","86,000","85,000",1.15M,0.00%,VCB,Vietcombank
10/17/2023,"85,900","86,100","86,500","85,500",363.40K,-0.23%,VCB,Vietcombank
10/16/2023,"86,100","85,600","86,600","85,600",332.30K,-0.58%,VCB,Vietcombank
10/13/2023,"86,600","86,000","86,600","85,500",663.10K,0.70%,VCB,Vietcombank
10/12/2023,"86,000","86,900","86,900","85,500",714.10K,-0.58%,VCB,Vietcombank
10/11/2023,"86,500","86,200","86,500","85,700",719.40K,0.46%,VCB,Vietcombank
10/10/2023,"86,100","84,600","86,200","84,600",734.10K,1.77%,VCB,Vietcombank
10/09/2023,"84,600","85,400","85,400","84,000",1.10M,-0.94%,VCB,Vietcombank
10/06/2023,"85,400","84,500","85,400","83,500",800.90K,1.07%,VCB,Vietcombank
10/05/2023,"84,500","86,000","86,000","84,500",890.00K,-2.09%,VCB,Vietcombank
10/04/2023,"86,300","86,300","86,300","85,300",923.80K,0.00%,VCB,Vietcombank
10/03/2023,"86,300","86,500","86,700","85,800",882.60K,-0.23%,VCB,Vietcombank
10/02/2023,"86,500","87,100","87,200","86,500",765.70K,-1.14%,VCB,Vietcombank
09/29/2023,"87,500","88,300","88,300","87,100",449.30K,-0.57%,VCB,Vietcombank
09/28/2023,"88,000","87,200","88,300","86,600",1.07M,0.23%,VCB,Vietcombank
09/27/2023,"87,800","87,600","89,000","87,000",1.20M,0.92%,VCB,Vietcombank
09/26/2023,"87,000","89,200","89,400","86,900",1.66M,-2.58%,VCB,Vietcombank
09/25/2023,"89,300","89,000","89,500","88,300",2.21M,0.00%,VCB,Vietcombank
09/22/2023,"89,300","86,400","89,500","86,000",2.41M,2.64%,VCB,Vietcombank
09/21/2023,"87,000","88,000","88,000","86,800",1.07M,-1.14%,VCB,Vietcombank
09/20/2023,"88,000","88,100","88,400","86,400",786.00K,-0.11%,VCB,Vietcombank
09/19/2023,"88,100","88,800","89,200","86,000",1.12M,-0.79%,VCB,Vietcombank
09/18/2023,"88,800","89,500","89,700","88,300",718.10K,-1.11%,VCB,Vietcombank
09/15/2023,"89,800","88,900","89,800","88,600",2.14M,0.79%,VCB,Vietcombank
09/14/2023,"89,100","89,000","89,500","88,100",1.51M,0.00%,VCB,Vietcombank
09/13/2023,"89,100","90,000","90,000","88,900",1.58M,-0.89%,VCB,Vietcombank
09/12/2023,"89,900","89,000","90,000","88,900",1.57M,1.58%,VCB,Vietcombank
09/11/2023,"88,500","89,600","90,000","88,000",1.65M,-1.12%,VCB,Vietcombank
09/08/2023,"89,500","89,500","89,500","89,100",1.34M,0.00%,VCB,Vietcombank
09/07/2023,"89,500","90,000","90,800","89,500",1.77M,-0.78%,VCB,Vietcombank
09/06/2023,"90,200","90,200","90,200","89,700",2.02M,0.11%,VCB,Vietcombank
09/05/2023,"90,100","89,100","90,700","89,100",1.94M,1.12%,VCB,Vietcombank
08/31/2023,"89,100","89,100","89,600","88,300",1.53M,0.00%,VCB,Vietcombank
08/30/2023,"89,100","88,500","89,500","88,500",1.35M,0.79%,VCB,Vietcombank
08/29/2023,"88,400","87,000","88,500","86,900",1.39M,1.61%,VCB,Vietcombank
08/28/2023,"87,000","86,400","87,500","86,200",1.38M,0.93%,VCB,Vietcombank
08/25/2023,"86,200","86,200","87,000","86,000",1.40M,-0.92%,VCB,Vietcombank
08/24/2023,"87,000","86,300","88,200","86,000",902.80K,0.81%,VCB,Vietcombank
08/23/2023,"86,300","88,900","88,900","86,100",1.75M,-2.38%,VCB,Vietcombank
08/22/2023,"88,400","89,500","89,700","87,800",1.83M,-1.56%,VCB,Vietcombank
08/21/2023,"89,800","89,700","90,200","89,200",1.71M,0.34%,VCB,Vietcombank
08/18/2023,"89,500","89,800","90,300","89,000",2.22M,0.11%,VCB,Vietcombank
08/17/2023,"89,400","89,200","89,800","88,600",2.15M,0.22%,VCB,Vietcombank
08/16/2023,"89,200","88,800","89,400","88,700",727.30K,0.34%,VCB,Vietcombank
08/15/2023,"88,900","90,000","90,000","88,500",1.15M,-0.11%,VCB,Vietcombank
08/14/2023,"89,000","90,300","90,300","89,000",1.47M,-1.55%,VCB,Vietcombank
08/11/2023,"90,400","88,500","90,400","88,500",920.80K,2.15%,VCB,Vietcombank
08/10/2023,"88,500","90,500","90,500","88,500",1.34M,-1.88%,VCB,Vietcombank
08/09/2023,"90,200","90,700","90,900","90,100",591.60K,-0.55%,VCB,Vietcombank
08/08/2023,"90,700","90,800","91,200","90,100",823.40K,-0.11%,VCB,Vietcombank
08/07/2023,"90,800","90,100","90,800","90,000",1.11M,0.78%,VCB,Vietcombank
08/04/2023,"90,100","90,700","91,100","90,100",1.23M,-0.55%,VCB,Vietcombank
08/03/2023,"90,600","91,500","91,500","90,500",837.90K,-0.98%,VCB,Vietcombank
08/02/2023,"91,500","91,200","91,500","91,000",1.06M,0.33%,VCB,Vietcombank
08/01/2023,"91,200","91,600","92,800","91,200",1.28M,-0.44%,VCB,Vietcombank
07/31/2023,"91,600","93,000","93,200","91,600",1.47M,-1.51%,VCB,Vietcombank
07/28/2023,"93,000","92,700","93,000","91,800",1.12M,0.32%,VCB,Vietcombank
07/27/2023,"92,700","93,700","93,700","92,500",957.20K,-0.75%,VCB,Vietcombank
07/26/2023,"93,400","91,900","93,400","91,900",1.15M,1.85%,VCB,Vietcombank
07/25/2023,"91,700","90,400","92,500","90,300",2.37M,3.54%,VCB,Vietcombank
07/24/2023,"88,569","88,992","89,246","88,484",954.84K,-15.65%,VCB,Vietcombank
07/21/2023,"105,000","105,000","105,000","104,000",663.40K,0.00%,VCB,Vietcombank
07/20/2023,"105,000","105,500","106,400","103,600",771.60K,-1.41%,VCB,Vietcombank
07/19/2023,"106,500","104,600","107,100","104,600",926.20K,2.11%,VCB,Vietcombank
07/18/2023,"104,300","104,900","105,000","104,300",590.00K,-0.48%,VCB,Vietcombank
07/17/2023,"104,800","105,000","105,000","104,200",791.60K,-0.19%,VCB,Vietcombank
07/14/2023,"105,000","104,900","105,000","104,000",797.70K,0.10%,VCB,Vietcombank
07/13/2023,"104,900","105,000","105,000","103,700",928.30K,0.87%,VCB,Vietcombank
07/12/2023,"104,000","102,700","104,500","102,700",742.80K,0.97%,VCB,Vietcombank
07/11/2023,"103,000","101,800","105,000","101,800",887.60K,0.29%,VCB,Vietcombank
07/10/2023,"102,700","104,900","104,900","102,300",915.10K,-2.19%,VCB,Vietcombank
07/07/2023,"105,000","100,500","105,000","100,400",1.06M,4.27%,VCB,Vietcombank
07/06/2023,"100,700","102,100","102,200","100,500",1.02M,-1.27%,VCB,Vietcombank
07/05/2023,"102,000","101,000","102,500","100,300",953.90K,2.00%,VCB,Vietcombank
07/04/2023,"100,000","100,700","101,900","99,900",682.70K,0.00%,VCB,Vietcombank
07/03/2023,"100,000","100,000","100,800","99,800",490.10K,0.00%,VCB,Vietcombank
06/30/2023,"100,000","101,100","101,800","100,000",556.60K,-1.86%,VCB,Vietcombank
06/29/2023,"101,900","101,800","103,000","101,100",640.60K,0.79%,VCB,Vietcombank
06/28/2023,"101,100","100,000","102,200","99,800",821.20K,1.10%,VCB,Vietcombank
06/27/2023,"100,000","100,000","101,000","99,700",685.90K,0.00%,VCB,Vietcombank
06/26/2023,"100,000","99,100","100,900","99,100",807.20K,0.10%,VCB,Vietcombank
06/23/2023,"99,900","100,400","100,400","99,500",705.20K,-0.50%,VCB,Vietcombank
06/22/2023,"100,400","102,000","102,000","99,900",716.50K,0.40%,VCB,Vietcombank
06/21/2023,"100,000","99,700","100,500","99,700",1.19M,0.10%,VCB,Vietcombank
06/20/2023,"99,900","101,100","101,100","99,800",1.78M,-1.77%,VCB,Vietcombank
06/19/2023,"101,700","103,600","104,100","101,700",1.14M,-3.14%,VCB,Vietcombank
06/16/2023,"105,000","104,200","106,400","103,200",1.33M,1.45%,VCB,Vietcombank
06/15/2023,"103,500","102,500","103,700","101,600",912.20K,0.88%,VCB,Vietcombank
06/14/2023,"102,600","102,400","104,000","101,500",840.50K,0.10%,VCB,Vietcombank
06/13/2023,"102,500","100,000","103,000","99,700",838.90K,1.49%,VCB,Vietcombank
06/12/2023,"101,000","99,900","101,500","98,100",435.10K,0.50%,VCB,Vietcombank
06/09/2023,"100,500","100,000","102,000","99,000",820.20K,0.50%,VCB,Vietcombank
06/08/2023,"100,000","97,000","101,700","97,000",1.34M,3.09%,VCB,Vietcombank
06/07/2023,"97,000","99,000","99,000","97,000",749.60K,-2.02%,VCB,Vietcombank
06/06/2023,"99,000","98,000","99,000","96,500",759.50K,1.02%,VCB,Vietcombank
06/05/2023,"98,000","95,200","98,700","95,200",1.30M,3.27%,VCB,Vietcombank
06/02/2023,"94,900","93,900","95,000","93,300",737.80K,1.06%,VCB,Vietcombank
06/01/2023,"93,900","94,600","94,600","93,200",646.30K,-0.11%,VCB,Vietcombank
05/31/2023,"94,000","93,900","94,100","93,100",380.10K,-0.53%,VCB,Vietcombank
05/30/2023,"94,500","93,100","94,800","92,400",564.50K,1.50%,VCB,Vietcombank
05/29/2023,"93,100","92,000","95,000","92,000",590.50K,1.20%,VCB,Vietcombank
05/26/2023,"92,000","93,200","93,500","92,000",283.70K,-1.29%,VCB,Vietcombank
05/25/2023,"93,200","92,600","94,000","91,400",606.60K,0.65%,VCB,Vietcombank
05/24/2023,"92,600","92,800","92,800","91,900",342.20K,-0.22%,VCB,Vietcombank
05/23/2023,"92,800","93,000","93,600","92,100",568.80K,-0.32%,VCB,Vietcombank
05/22/2023,"93,100","93,000","93,900","92,200",622.30K,-1.17%,VCB,Vietcombank
05/19/2023,"94,200","94,500","94,900","92,600",439.90K,-0.84%,VCB,Vietcombank
05/18/2023,"95,000","92,900","96,000","92,200",1.68M,2.37%,VCB,Vietcombank
05/17/2023,"92,800","92,500","93,000","92,300",572.70K,0.22%,VCB,Vietcombank
05/16/2023,"92,600","92,000","93,100","91,300",666.10K,0.98%,VCB,Vietcombank
05/15/2023,"91,700","92,000","93,000","91,200",450.50K,-1.19%,VCB,Vietcombank
05/12/2023,"92,800","91,000","92,800","90,800",710.50K,1.98%,VCB,Vietcombank
05/11/2023,"91,000","92,000","92,100","91,000",505.60K,-1.09%,VCB,Vietcombank
05/10/2023,"92,000","91,900","93,000","91,600",417.40K,-0.33%,VCB,Vietcombank
05/09/2023,"92,300","93,000","93,900","92,300",563.40K,-0.75%,VCB,Vietcombank
05/08/2023,"93,000","90,000","93,200","89,800",1.50M,3.56%,VCB,Vietcombank
05/05/2023,"89,800","88,500","89,900","88,200",225.70K,1.47%,VCB,Vietcombank
05/04/2023,"88,500","90,000","90,000","88,500",496.00K,-2.21%,VCB,Vietcombank
04/28/2023,"90,500","90,000","90,500","88,800",704.70K,0.56%,VCB,Vietcombank
04/27/2023,"90,000","88,700","90,500","88,400",580.40K,0.67%,VCB,Vietcombank
04/26/2023,"89,400","88,000","89,500","87,900",710.20K,1.25%,VCB,Vietcombank
04/25/2023,"88,300","88,200","88,500","87,500",545.80K,0.46%,VCB,Vietcombank
04/24/2023,"87,900","88,000","88,500","87,000",505.80K,0.46%,VCB,Vietcombank
04/21/2023,"87,500","88,000","88,100","87,400",356.50K,-0.91%,VCB,Vietcombank
04/20/2023,"88,300","88,800","88,800","88,000",257.80K,-0.23%,VCB,Vietcombank
04/19/2023,"88,500","88,100","88,700","88,000",416.90K,0.57%,VCB,Vietcombank
04/18/2023,"88,000","88,300","88,600","87,500",695.10K,-0.45%,VCB,Vietcombank
04/17/2023,"88,400","88,400","88,500","87,800",488.90K,0.00%,VCB,Vietcombank
04/14/2023,"88,400","88,300","89,100","88,200",414.80K,0.23%,VCB,Vietcombank
04/13/2023,"88,200","88,300","88,500","87,800",491.00K,-0.11%,VCB,Vietcombank
04/12/2023,"88,300","88,300","88,600","88,000",518.40K,0.11%,VCB,Vietcombank
04/11/2023,"88,200","89,000","90,000","88,200",751.60K,-0.90%,VCB,Vietcombank
04/10/2023,"89,000","90,000","90,000","89,000",639.30K,-1.11%,VCB,Vietcombank
04/07/2023,"90,000","91,000","91,100","89,500",747.20K,-1.32%,VCB,Vietcombank
04/06/2023,"91,200","91,500","92,100","91,200",376.30K,-0.98%,VCB,Vietcombank
04/05/2023,"92,100","92,300","92,300","91,100",336.00K,0.11%,VCB,Vietcombank
04/04/2023,"92,000","92,800","92,900","91,600",269.90K,-0.86%,VCB,Vietcombank
04/03/2023,"92,800","91,700","92,900","91,200",736.70K,1.53%,VCB,Vietcombank
03/31/2023,"91,400","92,800","93,200","90,500",950.60K,-1.40%,VCB,Vietcombank
03/30/2023,"92,700","92,300","93,200","92,000",409.70K,0.43%,VCB,Vietcombank
03/29/2023,"92,300","92,500","92,500","90,500",422.80K,0.54%,VCB,Vietcombank
03/28/2023,"91,800","90,800","92,900","90,100",845.80K,0.88%,VCB,Vietcombank
03/27/2023,"91,000","89,000","91,000","88,000",730.10K,2.25%,VCB,Vietcombank
03/24/2023,"89,000","91,000","91,000","88,900",630.00K,-1.87%,VCB,Vietcombank
03/23/2023,"90,700","88,800","90,700","87,300",849.50K,1.91%,VCB,Vietcombank
03/22/2023,"89,000","86,600","89,900","86,600",1.06M,2.89%,VCB,Vietcombank
03/21/2023,"86,500","85,400","89,900","85,400",1.06M,1.65%,VCB,Vietcombank
03/20/2023,"85,100","89,000","89,500","85,100",1.03M,-4.38%,VCB,Vietcombank
03/17/2023,"89,000","91,000","91,100","89,000",2.27M,-2.20%,VCB,Vietcombank
03/16/2023,"91,000","91,000","92,000","89,500",806.00K,-0.44%,VCB,Vietcombank
03/15/2023,"91,400","91,600","92,000","91,100",807.80K,0.44%,VCB,Vietcombank
03/14/2023,"91,000","91,000","91,200","90,500",863.70K,-0.55%,VCB,Vietcombank
03/13/2023,"91,500","92,000","92,000","90,800",759.20K,-0.65%,VCB,Vietcombank
03/10/2023,"92,100","92,200","92,500","91,500",707.80K,-0.97%,VCB,Vietcombank
03/09/2023,"93,000","92,000","93,400","91,700",1.10M,0.87%,VCB,Vietcombank
03/08/2023,"92,200","91,000","92,200","90,700",871.90K,0.33%,VCB,Vietcombank
03/07/2023,"91,900","91,500","92,500","91,100",970.30K,0.99%,VCB,Vietcombank
03/06/2023,"91,000","91,000","92,200","91,000",711.90K,0.11%,VCB,Vietcombank
03/03/2023,"90,900","91,800","92,800","90,900",798.60K,-2.47%,VCB,Vietcombank
03/02/2023,"93,200","93,000","93,800","91,800",984.70K,0.22%,VCB,Vietcombank
03/01/2023,"93,000","92,300","93,400","92,200",729.70K,-0.53%,VCB,Vietcombank
02/28/2023,"93,500","93,100","93,700","92,600",565.80K,0.75%,VCB,Vietcombank
02/27/2023,"92,800","93,000","93,500","91,700",501.00K,-0.75%,VCB,Vietcombank
